Location,Price
"$1,925","4704 Blakiston St, Philadelphia, PA 19136"
"$1,610","4715 Loring St, Philadelphia, PA 19136"
"$2,300","4761 Loring St, Philadelphia, PA 19136"
"$1,200","4011 Shelmire Ave, 2nd flr, Philadelphia, PA 19136"
"$1,475","4554 Bleigh Ave, 2, Philadelphia, PA 19136"
"$2,500","4111 Welsh Rd, Philadelphia, PA 19136"
"$1,450","8204 Ditman St, 1, Philadelphia, PA 19136"
"$1,200","4327 Loring St, Philadelphia, PA 19136"
"$1,480","8846 Cottage St, 2, Philadelphia, PA 19136"
